"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"3304","T26.01XS","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of right eyelid and periocular area, sequela             "
"3305","T26.02XA","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of left eyelid and periocular area, initial encounter            "
"3306","T26.02XD","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of left eyelid and periocular area, subsequent encounter            "
"3307","T26.02XS","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of left eyelid and periocular area, sequela             "
"3308","T26.10XA","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, unspecified eye, initial encounter           "
"3309","T26.10XD","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, unspecified eye, subsequent encounter           "
"3310","T26.10XS","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, unspecified eye, sequela            "
"3311","T26.11XA","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, right eye, initial encounter           "
"3312","T26.11XD","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, right eye, subsequent encounter           "
"3313","T26.11XS","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, right eye, sequela            "
"3314","T26.12XA","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, left eye, initial encounter           "
"3315","T26.12XD","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, left eye, subsequent encounter           "
"3316","T26.12XS","Burn confined to eye and adnexa","burn, corneal/conjunctival sac","EYE001","Burn of cornea and conjunctival sac, left eye, sequela            "
"3326","T26.30XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of unspecified eye and adnexa, initial encounter         "
"3327","T26.30XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of unspecified eye and adnexa, subsequent encounter         "
"3328","T26.30XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of unspecified eye and adnexa, sequela          "
"3329","T26.31XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of right eye and adnexa, initial encounter         "
"3330","T26.31XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of right eye and adnexa, subsequent encounter         "
"3331","T26.31XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of right eye and adnexa, sequela          "
"3332","T26.32XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of left eye and adnexa, initial encounter         "
"3333","T26.32XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of left eye and adnexa, subsequent encounter         "
"3334","T26.32XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burns of other specified parts of left eye and adnexa, sequela          "
"3335","T26.40XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of unspecified eye and adnexa, part unspecified, initial encounter           "
"3336","T26.40XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of unspecified eye and adnexa, part unspecified, subsequent encounter           "
"3337","T26.40XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of unspecified eye and adnexa, part unspecified, sequela            "
"3338","T26.41XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of right eye and adnexa, part unspecified, initial encounter           "
"3339","T26.41XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of right eye and adnexa, part unspecified, subsequent encounter           "
"3340","T26.41XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of right eye and adnexa, part unspecified, sequela            "
"3341","T26.42XA","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of left eye and adnexa, part unspecified, initial encounter           "
"3342","T26.42XD","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of left eye and adnexa, part unspecified, subsequent encounter           "
"3343","T26.42XS","Burn confined to eye and adnexa","burn, other/unspec","EYE012","Burn of left eye and adnexa, part unspecified, sequela            "
"3344","T26.50XA","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of unspecified eyelid and periocular area, initial encounter            "
"3345","T26.50XD","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of unspecified eyelid and periocular area, subsequent encounter            "
"3346","T26.50XS","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of unspecified eyelid and periocular area, sequela             "
"3347","T26.51XA","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of right eyelid and periocular area, initial encounter            "
"3348","T26.51XD","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of right eyelid and periocular area, subsequent encounter            "
"3349","T26.51XS","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of right eyelid and periocular area, sequela             "
"3350","T26.52XA","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of left eyelid and periocular area, initial encounter            "
"3351","T26.52XD","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of left eyelid and periocular area, subsequent encounter            "
"3352","T26.52XS","Burn confined to eye and adnexa","corrosion, eyelid/periocular","EYE008","Corrosion of left eyelid and periocular area, sequela             "
"3353","T26.60XA","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, unspecified eye, initial encounter           "
"3354","T26.60XD","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, unspecified eye, subsequent encounter           "
"3355","T26.60XS","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, unspecified eye, sequela            "
"3356","T26.61XA","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, right eye, initial encounter           "
"3357","T26.61XD","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, right eye, subsequent encounter           "
"3358","T26.61XS","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, right eye, sequela            "
"3359","T26.62XA","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, left eye, initial encounter           "
"3360","T26.62XD","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, left eye, subsequent encounter           "
"3361","T26.62XS","Burn confined to eye and adnexa","corrosion, cornea/conjunctival sac","EYE001","Corrosion of cornea and conjunctival sac, left eye, sequela            "
"3371","T26.80XA","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of unspecified eye and adnexa, initial encounter         "
"3372","T26.80XD","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of unspecified eye and adnexa, subsequent encounter         "
"3373","T26.80XS","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of unspecified eye and adnexa, sequela          "
"3374","T26.81XA","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of right eye and adnexa, initial encounter         "
"3375","T26.81XD","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of right eye and adnexa, subsequent encounter         "
"3376","T26.81XS","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of right eye and adnexa, sequela          "
"3377","T26.82XA","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of left eye and adnexa, initial encounter         "
"3378","T26.82XD","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of left eye and adnexa, subsequent encounter         "
"3379","T26.82XS","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosions of other specified parts of left eye and adnexa, sequela          "
"3380","T26.90XA","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosion of unspecified eye and adnexa, part unspecified, initial encounter           "
"3381","T26.90XD","Burn confined to eye and adnexa","corrosion, other/unspec","EYE012","Corrosion of unspecified eye and adnexa, part unspecified, subsequent encounter           "
